acode,catRank,categoryName,entryArt,entryPayart,eventDate,eventName,eventRaceNr,overCategoryName,overRank,provider,raceNr,racePayload,resultState,runtime,startNumber
KRP1QRMG,11,42.195km Vétérans 2 / Senioren 2,Bezahlt,,26.08.2007,Alpenmarathon / Marathon des Alpages,ED7A3B92BDA78902C8345CEA9764F620,Overall 42 km,70,Datasport,9947,9ED611613A1DFDB0EEAB21D1C9DDC68335C31EB212E6D96227BCF2E69C88D33C,Klassiert,"5:29.48,7",78
KRP1QRMG,4,Touristen,Bezahlt,,18.08.2007,"Internationaler Matterhornlauf, Zermatt",3888751B6EB0640DAC618C1D5835DA06,,,Datasport,9195,C370D1029D6F4C78834FF0F8B7FD2D67B710E54B6FCD419AAB30B101FB1A8166,Klassiert,"1:30.04,3",1068
KRP1QRMG,50,Vétérans II,Bezahlt,,12.08.2007,"Sierre-Zinal, Sierre",682211BF694F6D22EF5AF55D6E7033BE,Hommes et Femmes,533,Datasport,9138,FAE787491C9A1A007FCF796604EB140C3D2F899CBE893D41797E56535DBBED6F,Klassiert,"4:34.42,2",1603
KRP1QRMG,21,Vétérans 2,Bezahlt,,05.08.2007,"Course pédestre Thyon-Dixence, Thyon",CC28B2BDDA4B3841890A1CF93F6058FA,Overall Hommes,181,Datasport,9137,DB644117C010C0C0C951A456975EDB19D57F3941317DF6FBBE2F524B3C64C544,Klassiert,"2:03.47,3",396
KRP1QRMG,32,Männer M55,Bezahlt,,07.07.2007,"Zermatt Marathon, Zermatt",0872462E488F671A3B6491A93645ED84,Overall Männer,465,Datasport,9196,FC5579183A77C79E38106F5EF16FBC5320EBA946AAACB5381D983D2967D773D1,Klassiert,"5:30.00,1",559
KRP1QRMG,34,Männer 50-59 Jahre,Bezahlt,,19.08.2006,"Internationaler Matterhornlauf, Zermatt",733FBEB8EFCFB01427AD54691E9556B2,Overall Männer,184,Datasport,8195,D12F928BFB6172501B7AB0B0E9BEC1C1BB7950D9EBDBF257157434FE3A9A1742,Klassiert,"1:26.16,0",607
KRP1QRMG,43,Vétérans II,Bezahlt,,13.08.2006,"Sierre-Zinal, Sierre",395D76027591CF8E38A9C9575EA19D72,Hommes et Femmes,469,Datasport,8138,BEDB9047D4F365E606EBA3797B43EFE568802E94B0EA4BA39A78C8F56A65C528,Klassiert,"4:39.57,2",1467
KRP1QRMG,18,Vétérans 2,Bezahlt,,06.08.2006,"Course pédestre Thyon-Dixence, Thyon",BE02D7447716A5F5CB9A2C4F934D62B0,Overall Hommes,148,Datasport,8137,B47C4F5E0B151580B5F4E40052999C73C66E1ACAA9D11C89BCAD0304993F7B25,Klassiert,"1:54.01,6",414
KRP1QRMG,,Männer M50,Bezahlt,,08.07.2006,"Zermatt Marathon, Zermatt",E2581C008704CB549AFF9A799CE3F47F,Overall Männer,,Datasport,8196,D7F2975ACA2118E3EE0A5ACABCB86887A29DF91FA51DDB19B2FFCDB9E1E64FEC,Nicht Klassiert,,580
KRP1QRMG,21,Männer M50,Bezahlt,,08.07.2006,"Zermatt Marathon, Zermatt",E2581C008704CB549AFF9A799CE3F47F,Overall Männer,158,Datasport,8196,D7F2975ACA2118E3EE0A5ACABCB868874A298E502D5A56C694FF4D356061A53E,Klassiert,"4:45.48,8",927
KRP1QRMG,39,Männer 50+,Bezahlt,,25.06.2006,"Aletsch-Halbmarathon, Bettmeralp",B17E73C61520A56B52B308C437A3AF95,Overall Männer,348,Datasport,8933,FD3F8FF79FF49B89CEFD34E624959DA445D6964127182EDC9DAD5636F52D5B82,Klassiert,"2:27.42,8",627
KRP1QRMG,22,76km Hommes (dès 51 ans),Bezahlt,,21.08.2005,"Grand Raid, Verbier/Grimentz",45A184B3929C0C2F894F992E363D5FEF,76km Hommes,614,Datasport,7303,717F43FECF38D367A9DFCD09B0A8D3DA1ABD886E59873A9DF9C9E51A063F50B2,Klassiert,"7:05.47,6",4084
KRP1QRMG,33,Vétérans II,Bezahlt,,14.08.2005,"Sierre-Zinal, Sierre",FE2950BE973E384AF9A3C17DB7751890,Hommes et Femmes,411,Datasport,7138,E7F9013CF7DBA5002EB8B5F4CF2C5E2E05CED477BC8CFB487EB74AD003AA3740,Klassiert,"4:28.31,8",947
KRP1QRMG,12,Vétérans 2,Bezahlt,,07.08.2005,"Course pédestre Thyon-Dixence, Thyon",FBD916560817ED8A5817FEAC1A271562,Overall Hommes,169,Datasport,7137,B84712407B64BD45FC64AB41B394C3B44E302AAD1FB7C55FDF41B3CC2D5718AB,Klassiert,"1:48.19,1",438
KRP1QRMG,15,76km Hommes (dès 51 ans),Bezahlt,,22.08.2004,"Grand Raid, Verbier/Grimentz",ABB6775E3B1657BA51649D468BF4180A,76km Hommes,558,Datasport,6303,AE2B92BA6C43FD01FF31488548682155BDD9EDD7F75F5DBE8D7959C78CCA43DA,Klassiert,"6:25.14,5",3401
KRP1QRMG,72,Touristes,Bezahlt,,01.08.2004,"Course pédestre Thyon-Dixence, Thyon",3A000F03D98F4219739A075512ECE09C,,,Datasport,6137,353E4589745AA352B81F98B57092E04F002F619326F924FE0CC5E9AC47FBD4AE,Klassiert,"2:01.51,8",951
KRP1QRMG,29,76km Hommes (dès 51 ans),Bezahlt,,24.08.2003,"Grand Raid, Verbier/Grimentz",F94CE8FACB20D9D3E9D486527619BE28,76km Hommes,1065,Datasport,5303,EFE08908C0E52A927FC7D9A97A078B148A8E9DE264C0A76033CF0F25E0080A87,Klassiert,"7:05.53,3",6468
